field,name,ra,dec
124,UW124,170.19401799131137,1.890360008832602
125,UW125,172.66536294631535,1.890360008832602
126,UW126,175.13670790131934,1.890360008832602
127,UW127,177.60805285632333,1.890360008832602
128,UW128,180.0793978113273,1.890360008832602
129,UW129,182.5507427663313,1.890360008832602
130,UW130,185.02208772133528,1.890360008832602
131,UW131,187.49343267633927,1.890360008832602
132,UW132,189.96477763134325,1.890360008832602
133,UW133,192.43612258634724,1.890360008832602
134,UW134,194.90746754135122,1.890360008832602
135,UW135,197.3788124963552,1.890360008832602
136,UW136,199.8501574513592,1.890360008832602
137,UW137,202.32150240636318,1.890360008832602
138,UW138,204.79284736136717,1.890360008832602
139,UW139,207.26419231637115,1.890360008832602
140,UW140,209.73553727137514,1.890360008832602
141,UW141,212.20688222637912,1.890360008832602
142,UW142,214.6782271813831,1.890360008832602
143,UW143,217.1495721363871,1.890360008832602
144,UW144,219.62091709139108,1.890360008832602
145,UW145,222.09226204639506,1.890360008832602
146,UW146,224.56360700139905,1.890360008832602
147,UW147,227.03495195640303,1.890360008832602
148,UW148,229.50629691140702,1.890360008832602
149,UW149,231.977641866411,1.890360008832602
150,UW150,234.448986821415,1.890360008832602
151,UW151,236.92033177641898,1.890360008832602
152,UW152,239.39167673142296,1.890360008832602
153,UW153,241.86302168642695,1.890360008832602
154,UW154,244.33436664143093,1.890360008832602
155,UW155,117.44685191993977,3.695360008832602
156,UW156,119.92199814241589,3.695360008832602
157,UW157,122.397144364892,3.695360008832602
158,UW158,124.87229058736811,3.695360008832602
159,UW159,127.34743680984423,3.695360008832602
160,UW160,129.82258303232032,3.695360008832602
161,UW161,132.29772925479645,3.695360008832602
162,UW162,134.77287547727258,3.695360008832602
163,UW163,137.24802169974868,3.695360008832602
164,UW164,139.72316792222477,3.695360008832602
165,UW165,142.1983141447009,3.695360008832602
166,UW166,144.67346036717703,3.695360008832602
167,UW167,147.14860658965313,3.695360008832602
168,UW168,149.62375281212923,3.695360008832602
169,UW169,152.09889903460535,3.695360008832602
170,UW170,154.57404525708148,3.695360008832602
